,0,1,2,3,4,5,6,7,8,9,10,11
12467,Monat_12,Stunde_9,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12468,Monat_12,Stunde_17,Wochentag_2,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
12469,Monat_12,Stunde_13,Wochentag_7,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_0,,
12470,Monat_12,Stunde_9,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12471,Monat_12,Stunde_9,Wochentag_7,Unfallaktegorie_2,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_0,Fahrrad_1,StrassenZustand_0,,,
12472,Monat_12,Stunde_14,Wochentag_2,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12473,Monat_12,Stunde_14,Wochentag_4,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_0,PKW_1,StrassenZustand_1,,,
12474,Monat_12,Stunde_8,Wochentag_5,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_3,Lichverhaeltniss_0,Fahrrad_1,KraftRad_1,StrassenZustand_0,,
12475,Monat_12,Stunde_1,Wochentag_7,Unfallaktegorie_3,UnfallArt_8,UnfallTyp_1,Lichverhaeltniss_2,Fahrrad_1,StrassenZustand_0,,,
12476,Monat_12,Stunde_14,Wochentag_7,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_0,KraftRad_1,StrassenZustand_1,,,
12477,Monat_12,Stunde_7,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_1,,,
12478,Monat_12,Stunde_19,Wochentag_4,Unfallaktegorie_3,UnfallArt_8,UnfallTyp_1,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12479,Monat_12,Stunde_15,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_0,,
12480,Monat_12,Stunde_7,Wochentag_5,Unfallaktegorie_2,UnfallArt_3,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12481,Monat_12,Stunde_13,Wochentag_2,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12482,Monat_12,Stunde_7,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_7,Lichverhaeltniss_1,PKW_1,StrassenZustand_0,,,
12483,Monat_12,Stunde_11,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,Sonstiges_1,StrassenZustand_0,,
12484,Monat_12,Stunde_17,Wochentag_6,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_4,Lichverhaeltniss_2,Fuss_1,Sonstiges_1,StrassenZustand_0,,
12485,Monat_12,Stunde_6,Wochentag_5,Unfallaktegorie_2,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,Fahrrad_1,GueterKFZ_1,StrassenZustand_0,,
12486,Monat_12,Stunde_12,Wochentag_2,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12487,Monat_12,Stunde_18,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_0,,
12488,Monat_12,Stunde_6,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
12489,Monat_12,Stunde_10,Wochentag_2,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_2,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_1,,
12490,Monat_12,Stunde_5,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12491,Monat_12,Stunde_16,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_0,,
12492,Monat_12,Stunde_17,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,KraftRad_1,StrassenZustand_0,,
12493,Monat_12,Stunde_15,Wochentag_4,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_1,PKW_1,StrassenZustand_1,,,
12494,Monat_12,Stunde_1,Wochentag_5,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_2,Lichverhaeltniss_2,Fahrrad_1,StrassenZustand_1,,,
12495,Monat_12,Stunde_16,Wochentag_5,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_1,KraftRad_1,StrassenZustand_1,,,
12496,Monat_12,Stunde_17,Wochentag_6,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_1,PKW_1,Fuss_1,StrassenZustand_0,,
